flight_id,distance_km,checked_bags,days_before_departure,stops,seat_row,price_thousand_kzt
824,1642,0,14,1,25,48.7
825,1769,2,5,1,27,97.3
826,2499,0,9,1,32,110.7
827,2209,1,32,1,11,87.4
828,1021,0,24,0,8,55.9
829,2774,1,9,0,22,130.8
830,1750,0,46,0,25,68.3
831,2557,2,89,1,20,103.2
832,2599,1,7,0,28,139.0
833,2789,1,9,0,23,121.8
834,1530,1,72,0,28,87.2
835,2070,2,6,2,24,89.5
836,3068,0,10,1,19,135.0
837,500,0,44,0,6,31.4
838,1521,0,57,1,33,41.5
839,500,0,33,1,19,21.4
840,1924,1,51,0,31,95.5
841,1948,2,80,0,30,96.4
842,2770,1,70,2,26,85.5
843,3437,1,18,0,13,157.1
844,1916,1,30,2,29,74.8
845,3555,0,68,2,23,117.1
846,1200,2,22,0,9,92.7
847,2600,0,44,0,35,116.6
848,2931,0,38,0,14,134.4
849,3311,2,6,1,25,158.9
850,500,0,12,0,20,45.7
851,3562,2,18,0,11,181.0
852,3183,0,21,0,20,138.0
853,1417,1,16,1,18,81.8
854,1641,2,49,1,2,88.7
855,1179,1,25,0,24,65.1
856,1096,0,72,1,10,37.4
857,3189,1,26,0,35,153.1
858,1160,1,17,1,34,64.9
859,1147,1,16,0,30,79.1
860,2616,0,8,0,33,118.4
861,2213,1,36,1,15,86.9
862,3692,1,1,0,34,174.6
863,1943,1,24,0,13,110.4
864,2983,1,19,1,1,133.6
865,2207,0,29,0,30,96.8
866,3673,0,11,0,2,146.3
867,2725,1,22,1,9,118.0
868,3303,1,12,0,19,148.0
869,2117,0,18,1,14,81.7
870,1912,1,32,0,15,98.7
871,511,2,34,1,7,52.2
872,3062,1,39,1,9,128.6
873,1682,2,20,1,32,83.7
874,2187,0,29,2,5,82.5
875,3491,2,24,0,5,169.2
876,1837,1,29,1,33,77.0
877,1660,0,52,1,24,70.5
878,1228,0,33,0,4,80.2
879,3412,1,5,1,6,155.3
880,2600,1,14,0,34,116.1
881,3416,2,22,0,31,177.8
882,1900,1,20,0,10,102.8
883,1529,1,3,0,14,84.3
884,3118,0,15,1,35,113.6
885,1898,1,14,1,12,72.1
886,500,0,36,0,34,44.7
887,2764,2,29,0,10,135.0
888,2204,1,25,1,26,109.1
889,2478,1,41,0,25,124.2
890,3660,1,10,0,26,174.4
891,2367,1,28,0,25,113.9
892,1338,1,41,0,26,82.2
893,1495,0,16,0,17,85.8
894,1373,0,16,0,29,68.6
895,2517,1,44,0,9,119.6
896,3458,0,10,0,5,162.8
897,2647,1,7,2,16,109.9
898,814,1,35,0,6,70.7
899,1650,1,30,1,8,69.2
900,1281,1,48,1,17,55.7
901,2123,1,28,0,6,105.5
902,1640,0,53,0,23,65.7
903,2035,0,14,1,2,87.9
904,2043,0,16,1,15,65.4
905,1561,1,12,1,19,75.1
906,500,0,45,0,31,33.4
907,2695,0,7,2,5,87.8
908,2207,1,10,0,5,121.1
909,3531,1,14,0,21,174.1
910,3285,1,41,1,22,128.5
911,2240,1,6,0,32,117.0
912,1037,2,10,1,8,84.2
913,2216,1,57,1,7,107.8
914,1405,1,64,2,16,50.4
915,2166,0,21,1,9,99.0
916,1509,1,14,0,5,102.2
917,3811,1,90,0,24,147.2
918,1869,0,45,1,11,70.0
919,2775,1,42,0,19,132.6
920,1046,1,42,0,26,66.5
921,2325,1,17,1,19,103.0
922,3512,1,43,0,29,147.2
923,2394,2,63,1,19,112.4
924,1593,1,18,0,22,92.4
925,2854,1,34,1,27,110.9
926,2400,1,19,0,12,118.7
927,3105,1,45,0,29,131.6
928,3321,1,30,0,24,153.4
929,1950,1,9,0,29,103.9
930,4071,2,50,0,8,176.9
931,3596,0,41,1,28,130.1
932,2798,1,37,1,5,122.1
933,1410,2,39,1,3,74.5
934,3288,1,26,1,33,124.1
935,2085,1,85,0,21,98.5
936,2552,0,40,0,5,119.6
937,2108,2,76,1,2,101.0
938,500,1,19,1,5,39.9
939,2959,2,42,1,14,136.7
940,1066,2,10,0,13,77.6
941,1922,0,47,1,33,82.0
942,1861,1,64,2,9,71.4
943,2770,1,25,1,30,117.2
944,1579,0,62,0,19,76.6
945,1918,1,2,0,16,114.3
946,2885,1,36,1,1,127.1
947,2175,2,6,0,17,132.8
948,1241,0,25,1,23,33.5
949,878,1,3,2,27,41.4
950,2062,2,23,1,20,101.2
951,2821,1,4,0,8,149.2
952,1848,1,8,0,7,105.5
953,1222,1,32,0,35,80.8
954,1553,1,32,2,6,57.2
955,3160,1,11,0,26,144.8
956,500,2,72,1,15,48.5
957,1201,0,11,1,33,49.3
958,671,1,45,0,33,56.9
959,1657,0,34,2,34,39.4
960,2188,0,21,1,11,89.3
961,1828,1,49,1,15,82.6
962,1817,0,14,2,34,60.7
963,599,1,24,2,31,27.5
964,2135,1,12,0,26,122.8
965,2820,1,36,0,10,145.8
966,1176,2,50,0,8,88.3
967,4077,1,89,1,31,147.9
968,2278,0,32,1,9,93.2
969,2414,1,90,1,30,86.5
970,3031,1,34,0,4,143.9
971,500,1,4,0,28,59.4
972,2791,0,40,1,3,97.1
973,2905,1,29,0,18,136.1
974,928,1,12,0,18,81.7
975,3035,1,7,0,3,137.5
976,3231,1,14,1,17,145.1
977,1747,0,34,0,18,79.1
978,4500,1,5,1,21,190.0
979,3314,0,7,0,20,146.4
980,2706,2,45,0,4,133.9
981,1485,0,7,0,25,78.3
982,2512,1,8,1,1,104.6
983,2733,2,38,1,24,106.1
984,2615,1,16,0,12,132.2
985,690,0,55,0,1,39.9
986,1821,1,4,0,11,97.6
987,2528,0,25,1,11,95.7
988,1602,1,33,0,22,89.8
989,1987,0,19,1,28,83.0
990,2581,0,12,0,33,113.7
991,2051,2,6,0,25,120.1
992,1333,0,10,0,22,78.2
993,762,2,20,1,7,49.0
994,3727,2,17,0,3,171.8
995,2839,1,19,1,23,115.7
996,2993,1,13,0,10,141.6
997,2352,1,17,0,35,113.8
998,2254,1,33,1,10,98.8
999,3205,1,22,2,14,113.1
1000,3233,0,44,2,12,98.5
