hotel_id,room_area_m2,stars,distance_center_km,hotel_age_years,photos_in_listing,price_thousand_kzt
773,39,4,5.4,36,4,54.7
774,21,3,1.3,9,9,39.3
775,35,5,5.3,40,7,53.9
776,21,3,1.2,36,29,37.3
777,30,5,6.0,4,23,53.1
778,38,4,2.3,32,21,53.0
779,20,2,9.5,20,38,30.0
780,38,4,9.6,9,38,52.2
781,33,5,0.8,33,22,61.9
782,23,1,4.2,17,4,30.4
783,23,3,3.0,10,31,40.1
784,23,2,3.1,14,19,30.9
785,32,3,1.1,13,16,53.1
786,33,3,5.2,26,5,43.2
787,29,4,5.4,26,30,45.0
788,27,1,3.4,18,8,38.6
789,30,2,4.4,16,6,44.0
790,20,2,1.6,21,6,39.0
791,22,4,7.5,3,29,40.6
792,20,1,12.5,6,16,21.5
793,29,3,4.3,23,31,42.5
794,19,4,6.0,15,35,42.2
795,12,2,3.0,20,15,29.5
796,27,4,2.0,38,33,43.1
797,31,5,0.6,0,28,61.0
798,29,4,2.7,0,39,51.7
799,31,3,1.4,38,4,47.8
800,36,5,6.9,37,31,55.0
801,45,5,2.7,10,37,64.5
802,22,4,3.2,2,27,49.3
803,23,2,4.2,18,15,32.6
804,22,3,4.2,37,19,37.2
805,38,5,7.3,21,18,53.0
806,32,4,14.1,21,28,46.3
807,12,1,5.7,17,12,15.0
808,22,3,3.8,11,26,37.7
809,40,5,2.1,35,23,59.9
810,34,3,6.3,21,15,45.1
811,36,4,7.3,26,35,49.5
812,26,3,6.6,28,21,39.5
813,36,4,1.0,33,40,55.1
814,26,4,2.0,7,13,48.8
815,30,4,2.0,23,13,52.6
816,28,3,6.1,5,11,43.4
817,35,3,5.6,19,5,50.1
818,12,2,5.3,39,26,15.0
819,28,2,1.6,22,7,35.0
820,18,3,1.7,11,14,40.1
821,27,3,3.0,21,24,41.7
822,42,5,10.5,20,30,59.7
823,29,3,2.1,22,5,46.9
824,44,5,6.0,37,29,62.6
825,24,3,6.2,1,9,39.0
826,26,3,3.7,0,22,44.2
827,18,2,4.7,12,18,29.3
828,26,2,5.2,8,12,37.4
829,13,1,4.1,21,21,22.6
830,47,5,14.9,8,31,62.1
831,22,2,5.1,31,11,33.8
832,16,4,2.7,19,13,39.8
833,23,2,7.0,38,20,29.1
834,38,4,9.4,37,35,47.9
835,42,5,2.3,38,35,59.9
836,25,3,9.1,19,8,35.4
837,14,1,5.5,29,27,17.3
838,37,5,1.8,30,31,60.0
839,34,5,1.6,7,11,63.2
840,25,2,2.5,21,5,38.3
841,16,2,3.7,2,24,29.4
842,23,3,3.1,25,22,35.1
843,35,4,1.9,28,29,54.5
844,18,2,8.6,5,36,33.1
845,30,3,4.1,2,15,47.3
846,41,5,3.3,16,18,63.2
847,29,3,8.1,12,25,44.5
848,21,2,5.1,12,9,34.4
849,40,4,2.1,6,23,63.6
850,19,3,3.4,11,4,37.6
851,28,3,9.9,16,22,41.1
852,25,4,5.3,38,9,44.1
853,36,5,1.0,37,36,60.1
854,12,1,3.8,11,31,22.2
855,22,1,8.7,4,35,32.2
856,25,2,7.2,1,19,34.9
857,32,5,3.7,39,14,51.6
858,33,5,6.0,0,23,56.1
859,36,3,2.8,29,15,47.8
860,28,4,2.3,26,21,49.1
861,40,3,1.8,31,24,54.0
862,33,3,3.1,14,7,51.2
863,29,3,6.1,40,23,39.9
864,38,5,4.0,35,29,60.4
865,32,4,3.7,5,10,54.6
866,19,2,6.2,6,30,33.3
867,20,3,0.6,28,13,40.0
868,19,2,8.1,26,25,26.5
869,50,5,1.6,12,28,75.3
870,26,2,9.7,5,17,31.6
871,38,3,2.9,4,40,54.0
872,19,2,4.0,20,28,27.1
873,35,5,3.0,26,14,57.6
874,24,4,5.2,30,37,40.6
875,31,5,6.4,14,37,46.0
876,21,2,6.0,34,37,31.0
877,14,1,3.8,5,26,28.1
878,31,3,12.5,38,20,37.5
879,14,2,2.9,40,28,28.0
880,31,3,2.1,15,10,48.6
881,29,2,10.6,14,36,38.8
882,19,4,6.8,0,37,35.9
883,25,3,2.4,31,5,41.2
884,17,1,15.5,27,24,15.1
885,25,3,3.5,9,6,45.2
886,20,2,5.6,12,37,31.6
887,36,5,2.5,26,40,60.8
888,12,2,2.1,38,7,23.6
889,27,4,16.0,9,30,39.7
890,38,4,8.6,35,36,49.5
891,28,3,0.9,4,25,48.4
892,34,5,7.9,28,32,49.1
893,24,3,2.7,8,37,39.8
894,22,4,7.6,39,18,38.0
895,26,2,4.9,24,39,38.1
896,32,3,1.3,14,14,50.7
897,24,3,16.0,29,27,27.5
898,24,2,7.8,27,35,35.0
899,43,5,0.9,32,20,65.8
900,31,3,8.5,5,21,44.6
901,40,5,5.3,21,16,63.2
902,21,2,7.5,4,40,29.5
903,36,4,8.6,25,35,49.4
904,20,1,13.9,19,25,21.7
905,29,2,7.1,7,27,35.5
906,24,1,4.1,30,35,28.6
907,22,2,11.4,14,21,31.6
908,27,3,4.4,0,17,43.6
909,32,4,4.0,38,6,50.8
910,12,1,3.6,30,12,21.6
911,36,5,2.1,29,15,64.4
912,29,4,7.7,36,10,41.5
913,17,3,10.0,6,40,35.1
914,27,5,6.1,20,23,47.7
915,37,5,7.1,7,39,57.6
916,21,2,4.4,20,29,32.0
917,27,3,12.0,19,22,38.6
918,33,4,1.6,3,11,58.0
919,44,5,6.5,19,4,64.4
920,19,2,5.0,37,34,32.1
921,21,2,2.8,31,9,35.0
922,12,1,5.4,2,15,23.9
923,30,4,7.0,18,26,49.7
924,27,2,3.3,23,31,42.0
925,21,2,3.6,19,32,31.2
926,18,2,1.8,7,22,37.4
927,26,3,6.7,3,22,39.6
928,36,4,3.2,31,22,51.2
929,35,5,6.1,10,40,54.8
930,27,3,3.7,36,17,39.7
931,18,2,3.8,3,5,30.8
932,14,1,2.7,11,11,27.2
933,22,3,3.3,6,22,40.5
934,12,3,5.1,36,19,27.7
935,19,4,3.6,24,15,41.0
936,20,4,10.7,2,11,38.5
937,25,2,12.8,15,25,24.8
938,30,5,8.1,4,11,49.8
939,40,5,1.4,19,14,66.6
940,37,3,4.9,27,40,52.7
941,23,2,7.3,27,28,33.8
942,29,4,8.3,18,36,45.4
943,39,5,1.8,34,8,60.5
944,33,4,8.7,9,34,50.4
945,19,1,12.4,23,25,19.2
946,34,3,4.5,15,6,46.9
947,28,2,3.8,28,22,38.1
948,35,4,6.1,39,7,49.9
949,28,3,4.6,33,18,43.1
950,33,4,2.8,6,21,54.8
951,41,5,9.0,16,27,63.7
952,25,4,7.5,7,34,43.9
953,37,5,5.0,8,31,59.3
954,32,3,1.4,14,35,53.9
955,33,4,4.2,20,24,50.4
956,29,4,1.0,6,4,52.5
957,33,2,7.8,17,8,45.1
958,40,4,5.5,20,29,56.1
959,17,2,6.8,8,40,30.7
960,31,4,10.7,0,38,46.4
961,38,3,2.7,8,24,53.1
962,28,3,4.3,8,18,46.8
963,35,4,4.3,37,17,52.1
964,27,2,5.6,7,10,37.5
965,35,5,9.3,37,19,48.9
966,37,5,1.8,10,29,64.5
967,24,4,8.9,16,21,39.5
968,28,2,14.6,23,7,30.5
969,18,3,9.6,30,38,24.0
970,17,2,14.1,37,16,20.5
971,23,3,3.7,6,19,39.1
972,35,3,5.4,18,7,48.8
973,13,2,2.8,23,21,28.1
974,12,2,2.2,39,22,26.0
975,25,2,4.1,30,33,35.7
976,32,3,1.9,0,26,50.9
977,25,1,1.7,7,10,37.2
978,33,5,5.5,28,13,55.5
979,44,4,8.0,9,27,58.2
980,19,4,11.6,25,38,28.6
981,22,4,3.4,26,12,39.4
982,22,3,5.1,37,33,36.5
983,26,3,5.4,6,20,42.4
984,12,1,7.6,31,13,12.6
985,47,5,2.0,24,22,71.9
986,19,2,1.5,31,7,30.0
987,27,2,12.4,6,14,33.1
988,25,3,5.5,23,19,41.4
989,33,4,3.9,7,12,54.4
990,28,4,3.6,15,12,45.9
991,36,3,12.0,5,39,49.0
992,41,3,5.3,14,37,49.0
993,33,3,3.3,34,19,48.7
994,32,2,5.5,32,10,39.1
995,28,3,6.1,5,28,46.0
996,25,3,5.1,34,30,42.8
997,28,3,2.7,18,7,46.8
998,25,4,6.3,7,37,47.5
999,35,2,5.0,30,39,44.4
1000,40,5,5.8,29,32,61.5
