shop_id,seats,baristas,distance_center_km,competitors_nearby,owner_age_years,daily_revenue_thousand_kzt
773,59,4,3.0,0,43,523.7
774,29,1,5.7,0,43,235.7
775,34,2,3.3,6,60,286.1
776,45,3,4.4,8,41,286.3
777,32,1,5.3,5,39,187.7
778,37,2,8.7,7,40,201.3
779,11,1,11.5,6,36,57.7
780,49,3,6.3,4,44,393.6
781,28,1,1.7,7,35,196.8
782,41,3,8.2,1,58,300.4
783,51,3,5.8,3,28,368.8
784,45,4,3.1,5,31,385.9
785,47,3,3.0,8,39,338.3
786,23,2,2.7,3,45,254.8
787,23,1,5.3,0,28,209.5
788,41,1,7.6,7,54,236.4
789,47,4,1.4,0,40,419.4
790,34,2,3.1,4,30,274.7
791,33,2,2.2,4,29,256.7
792,33,3,11.2,2,56,244.4
793,35,2,2.7,1,25,338.2
794,18,1,2.4,6,58,160.1
795,24,2,3.4,2,49,200.9
796,50,3,7.5,3,59,373.6
797,27,1,12.0,0,54,236.1
798,37,1,6.3,4,27,273.1
799,16,2,2.8,8,57,184.2
800,46,3,9.5,4,29,318.6
801,62,3,2.8,2,28,473.2
802,37,2,4.4,7,32,219.8
803,23,2,4.2,8,29,203.5
804,41,2,5.2,6,58,285.9
805,37,3,10.4,2,36,285.4
806,57,4,6.9,0,47,496.4
807,50,2,8.4,5,43,329.6
808,49,5,10.3,6,50,423.4
809,40,1,9.6,6,50,228.1
810,65,3,8.5,0,43,440.7
811,24,3,5.0,5,53,212.6
812,16,1,10.0,1,44,136.1
813,46,1,7.4,2,35,317.4
814,29,1,5.2,4,47,161.1
815,55,4,2.5,8,45,370.0
816,10,1,2.5,0,56,190.8
817,10,1,8.2,4,37,103.1
818,55,3,6.6,3,55,381.1
819,64,4,4.0,1,28,540.2
820,42,3,2.0,1,32,366.0
821,53,3,3.1,7,49,387.4
822,45,3,2.8,0,60,358.7
823,33,3,8.4,1,48,276.1
824,44,3,5.3,8,28,292.6
825,41,3,11.5,2,48,247.4
826,14,2,5.6,6,59,99.6
827,27,2,3.5,1,38,273.9
828,42,3,16.0,8,42,276.1
829,46,2,3.5,2,27,358.5
830,54,1,9.9,1,50,322.9
831,45,4,2.3,1,31,389.6
832,35,2,2.1,4,36,275.6
833,35,3,2.7,7,40,284.3
834,43,4,8.3,8,25,282.6
835,49,3,4.8,1,47,432.3
836,51,5,2.1,7,60,416.1
837,37,1,7.9,1,53,279.5
838,30,2,5.7,0,45,265.8
839,59,2,4.2,0,48,453.1
840,26,1,7.5,0,40,197.9
841,59,4,3.6,6,57,457.9
842,50,4,4.2,5,55,388.6
843,76,5,1.6,5,25,605.2
844,32,1,4.5,2,39,252.8
845,25,3,12.5,5,56,205.0
846,34,2,9.8,5,58,215.8
847,20,2,16.0,3,59,150.4
848,46,5,4.8,2,46,435.9
849,50,2,0.7,4,44,339.4
850,26,1,4.6,0,60,252.9
851,42,2,3.0,1,51,339.7
852,29,2,7.3,1,38,255.5
853,25,1,1.8,2,59,237.4
854,24,1,6.0,0,50,213.6
855,61,5,3.1,5,58,474.1
856,49,3,2.3,5,47,334.9
857,29,4,9.9,7,47,208.0
858,50,4,12.1,7,56,362.3
859,42,3,5.7,3,54,358.6
860,22,4,4.2,0,46,300.7
861,49,4,16.0,2,51,362.8
862,63,4,1.5,2,32,496.2
863,34,1,2.8,4,51,236.5
864,55,2,7.4,4,36,350.3
865,25,1,7.2,3,38,209.7
866,32,3,3.5,7,53,249.4
867,64,5,6.2,1,50,493.1
868,56,5,3.3,2,49,524.6
869,45,3,4.5,0,46,387.7
870,27,4,3.6,8,46,258.0
871,59,4,6.5,8,28,398.5
872,50,4,0.6,1,25,418.1
873,43,3,5.5,2,59,376.0
874,53,4,0.7,0,35,482.0
875,38,1,4.3,7,40,181.4
876,44,5,3.9,8,25,377.2
877,41,3,2.4,7,55,303.0
878,25,1,3.9,7,27,204.5
879,34,1,13.4,4,36,220.7
880,43,3,9.2,7,43,318.0
881,43,3,3.4,6,53,317.9
882,60,4,12.8,0,27,460.9
883,42,1,3.3,3,53,285.8
884,39,4,0.9,0,54,371.5
885,37,2,8.2,0,43,286.9
886,26,1,16.0,6,41,166.2
887,39,1,13.4,4,31,247.3
888,53,4,7.7,0,48,457.4
889,17,1,7.4,3,40,183.4
890,39,2,16.0,1,39,277.4
891,52,5,2.0,4,37,437.0
892,67,5,6.7,1,58,495.0
893,62,4,2.6,2,52,524.1
894,41,3,11.1,2,29,335.4
895,31,2,9.4,7,39,196.2
896,35,3,0.8,4,45,321.9
897,33,3,11.2,1,35,288.7
898,45,3,7.9,7,38,297.7
899,39,4,4.3,6,46,394.2
900,16,1,4.4,2,49,199.6
901,33,2,3.5,4,31,261.9
902,30,2,9.3,5,35,200.7
903,44,4,2.4,6,47,361.6
904,30,2,2.7,0,37,287.4
905,41,3,1.3,8,41,291.7
906,35,1,1.9,3,45,268.0
907,33,2,2.3,8,48,249.0
908,49,3,16.0,7,40,296.5
909,37,3,1.8,3,55,344.9
910,26,2,1.6,8,49,207.0
911,24,1,2.5,5,44,217.2
912,31,4,4.4,2,32,315.0
913,27,2,3.9,1,56,302.2
914,46,4,3.4,4,58,423.4
915,44,2,7.3,1,44,339.3
916,33,1,3.9,2,27,317.9
917,47,3,0.9,3,52,376.8
918,53,3,2.0,3,25,395.2
919,55,5,8.9,0,25,444.7
920,63,4,13.0,3,37,439.2
921,26,2,11.5,7,56,173.3
922,56,2,2.1,0,36,441.1
923,36,4,0.6,6,31,328.3
924,60,4,3.0,5,30,430.4
925,50,4,2.3,6,50,378.2
926,40,1,12.3,5,26,224.1
927,25,1,11.5,5,35,144.0
928,25,3,4.3,5,39,223.5
929,33,2,3.9,2,39,250.3
930,43,3,5.1,5,55,318.9
931,22,3,7.5,2,43,203.8
932,25,1,4.1,8,36,190.4
933,24,2,5.0,6,60,173.1
934,25,3,16.0,6,39,178.3
935,34,4,0.9,4,45,329.1
936,49,3,15.2,4,27,266.0
937,40,4,5.6,6,33,346.3
938,28,1,1.2,7,51,211.5
939,10,1,8.8,0,49,80.9
940,20,1,5.5,6,44,128.7
941,60,5,1.5,6,52,486.2
942,70,5,2.5,0,53,537.6
943,33,2,2.6,6,54,234.9
944,66,5,2.5,3,59,518.3
945,51,4,2.7,2,52,438.8
946,42,3,4.2,5,43,328.3
947,62,4,2.2,1,36,519.6
948,53,5,1.1,4,30,436.2
949,44,4,0.9,0,48,364.7
950,30,3,7.8,8,55,233.6
951,24,2,3.7,5,52,219.2
952,51,5,3.5,6,44,370.4
953,24,2,6.3,5,48,198.1
954,44,3,2.6,7,31,337.4
955,54,5,3.0,1,59,473.3
956,31,2,1.1,2,32,320.5
957,33,1,6.4,4,58,195.8
958,33,3,4.7,1,53,267.1
959,35,2,4.5,7,35,250.0
960,27,3,4.3,0,56,270.9
961,67,5,5.0,1,45,508.2
962,42,4,8.1,2,32,386.0
963,38,3,2.7,6,32,263.7
964,66,4,7.0,2,31,471.9
965,26,3,3.2,4,35,304.0
966,44,2,2.1,6,52,344.4
967,41,2,7.2,7,35,255.3
968,33,2,5.0,6,29,189.9
969,41,1,6.6,2,57,280.6
970,51,2,3.8,7,60,334.7
971,25,2,6.4,1,47,266.1
972,43,2,5.6,1,49,296.4
973,42,4,9.0,3,44,312.2
974,41,5,4.3,0,26,420.3
975,38,4,9.3,1,42,334.1
976,41,2,5.3,1,60,300.9
977,37,1,3.9,8,56,231.9
978,26,1,2.8,0,40,275.6
979,42,4,16.0,7,55,285.6
980,63,3,13.9,0,53,407.0
981,24,1,6.1,6,32,175.1
982,62,5,2.7,6,29,490.5
983,54,4,2.6,7,26,384.4
984,47,3,8.1,3,60,368.5
985,10,1,3.9,3,32,125.7
986,43,3,7.8,5,48,307.4
987,58,3,2.5,2,37,419.3
988,31,1,3.6,0,53,219.9
989,50,3,5.3,1,30,386.8
990,41,3,0.8,2,32,339.5
991,42,2,6.8,6,33,257.7
992,65,4,3.0,1,28,491.7
993,37,4,1.6,6,60,346.6
994,54,2,4.9,7,44,364.6
995,49,3,8.0,1,45,407.4
996,32,3,9.8,5,39,232.2
997,49,4,9.9,2,49,388.9
998,59,5,4.0,2,29,452.4
999,40,3,8.5,8,55,264.4
1000,27,3,10.2,6,30,206.2
