household_id,home_area_m2,residents,appliances,heating_hours_per_day,cooling_hours_per_day,insulation_score,distance_center_km,owner_age_years,monthly_electricity_kwh
495,118,4,8,11.7,7.4,8,21.8,30,516.8
496,155,5,8,6.3,6.8,7,6.9,22,482.7
497,38,5,30,8.9,8.1,8,8.8,66,580.8
498,137,5,22,0.1,5.8,7,5.5,72,497.7
499,105,7,27,5.7,7.1,10,5.0,35,595.2
500,215,6,8,2.6,9.5,6,10.3,47,599.1
501,191,6,6,3.7,2.5,3,24.0,49,680.9
502,102,2,10,11.2,8.1,6,4.9,58,477.7
503,217,4,24,7.9,5.8,1,19.1,28,805.0
504,97,3,14,3.7,8.5,2,3.0,48,471.8
505,202,3,26,0.3,9.4,8,24.3,75,618.5
506,230,3,17,4.1,4.7,9,5.4,37,567.5
507,105,5,17,2.0,3.3,4,10.2,35,541.4
508,195,1,18,7.6,7.1,6,7.5,61,508.8
509,244,5,19,9.5,3.8,2,3.7,24,847.4
510,54,4,13,3.6,1.9,1,21.3,26,398.9
511,171,3,24,8.6,0.0,9,11.7,66,578.1
512,59,5,23,4.8,1.6,7,12.8,67,429.5
513,174,1,25,4.8,1.9,4,17.3,60,534.3
514,89,7,30,11.7,7.1,9,12.8,71,714.5
515,98,5,30,6.9,0.5,9,19.0,71,505.8
516,223,3,30,7.5,8.4,1,1.0,72,884.3
517,215,6,18,2.9,8.1,6,10.5,75,671.5
518,186,4,29,0.2,1.3,6,19.7,42,558.3
519,180,6,28,7.8,1.9,8,2.2,70,656.5
520,193,3,7,2.6,1.8,8,23.8,29,375.5
521,113,1,11,4.1,3.7,6,13.5,70,324.9
522,139,6,26,10.2,2.7,1,7.7,69,808.3
523,38,7,29,0.3,3.3,7,8.0,75,484.8
524,119,4,8,9.8,5.8,2,1.1,24,593.5
525,186,5,23,7.5,0.2,1,17.1,51,796.4
526,131,5,18,3.7,1.2,4,14.1,60,537.2
527,37,4,24,7.6,3.8,2,11.4,74,517.6
528,146,3,28,3.3,5.6,2,8.1,28,538.0
529,76,5,13,8.7,3.7,10,2.7,58,399.9
530,71,4,25,9.9,5.2,6,23.9,69,551.5
531,202,5,16,5.5,6.1,9,11.0,25,577.9
532,47,2,29,8.4,2.7,8,16.6,66,328.3
533,87,7,11,2.2,8.7,1,10.7,62,604.2
534,248,5,19,3.5,0.1,5,14.1,23,655.7
535,137,7,13,8.5,3.1,2,11.7,51,728.6
536,71,2,7,10.8,8.0,10,23.5,49,333.1
537,40,6,8,3.1,6.8,6,7.2,44,410.8
538,110,6,11,1.7,6.7,3,5.0,26,543.1
539,86,7,5,5.8,9.0,1,8.6,56,704.7
540,199,7,29,3.4,2.9,6,21.9,60,768.3
541,102,1,28,9.3,6.6,8,10.5,59,530.1
542,100,4,8,7.3,1.3,2,12.5,39,445.9
543,115,2,10,9.2,6.4,6,16.9,41,422.2
544,165,6,14,9.2,0.9,4,15.3,33,648.8
545,193,1,16,2.3,5.1,10,4.9,35,289.4
546,200,5,26,6.6,4.9,4,7.6,37,707.3
547,39,7,9,5.0,6.4,7,21.7,64,459.2
548,48,4,16,6.0,4.4,6,9.4,57,436.4
549,93,5,15,9.9,6.2,4,13.8,67,690.7
550,75,1,11,0.5,7.7,4,10.4,48,340.5
551,231,2,19,11.7,7.1,4,19.8,46,744.8
552,182,5,9,4.5,6.8,7,16.8,53,632.8
553,236,6,25,11.2,3.6,4,14.7,43,903.9
554,190,6,16,3.4,6.4,5,1.4,38,709.2
555,117,6,5,2.3,1.5,3,4.6,31,491.3
556,176,3,10,11.8,9.9,5,4.3,25,666.3
557,212,2,24,9.4,9.3,4,19.4,43,768.6
558,207,1,28,9.5,4.2,7,24.0,57,627.3
559,142,6,5,6.2,5.6,10,15.7,71,465.4
560,114,5,12,11.7,0.1,3,12.5,63,618.2
561,237,3,25,9.0,7.1,8,12.1,32,686.3
562,151,3,24,4.0,8.6,10,20.0,43,459.1
563,222,7,29,11.8,9.0,9,5.5,28,908.6
564,100,1,15,11.0,9.7,5,8.3,42,513.4
565,60,4,23,4.6,8.8,2,13.6,58,571.5
566,137,7,9,1.1,4.1,8,9.5,29,449.6
567,126,6,17,8.2,4.8,8,4.0,28,591.8
568,168,3,22,11.5,8.0,10,20.1,30,593.4
569,48,3,21,6.1,2.4,5,17.1,70,432.6
570,212,7,30,3.9,6.1,4,1.2,67,894.5
571,39,1,14,8.2,9.7,3,23.8,46,384.6
572,134,2,13,10.0,8.2,6,7.5,63,551.4
573,58,3,6,0.5,6.2,4,19.4,67,310.6
574,234,4,24,10.4,1.3,8,6.1,24,718.9
575,101,7,27,6.4,0.1,3,1.7,47,661.6
576,228,5,27,11.0,8.6,4,22.0,64,897.0
577,143,3,26,6.0,3.4,8,2.4,59,508.7
578,62,4,22,0.4,8.7,8,8.7,47,391.0
579,47,3,21,4.0,7.3,7,8.7,67,320.1
580,141,2,17,10.1,2.1,8,12.9,75,430.6
581,148,6,30,5.8,6.0,10,23.5,25,616.3
582,154,6,19,11.3,1.7,3,9.4,37,738.9
583,157,1,18,2.8,3.2,6,13.2,38,378.4
584,201,3,10,8.2,8.7,1,10.1,51,748.2
585,88,4,12,1.8,4.2,9,18.4,27,298.6
586,77,6,27,8.9,9.4,8,4.6,58,644.1
587,222,1,11,2.6,0.1,4,20.3,63,440.1
588,226,1,18,5.9,6.9,8,15.2,49,552.3
589,191,7,14,11.8,6.6,4,22.9,61,899.0
590,168,7,20,2.5,7.2,4,19.1,46,727.8
591,231,3,16,1.5,6.7,3,13.6,50,566.3
592,121,7,17,8.9,1.3,7,2.6,54,613.5
593,196,6,24,6.9,4.4,8,9.1,72,675.7
594,62,1,28,5.5,5.3,10,7.2,48,408.1
595,73,4,6,8.4,1.8,6,19.5,28,409.4
596,227,4,17,8.3,5.0,9,11.6,73,646.2
597,250,5,8,4.5,4.4,10,19.7,36,572.7
598,147,6,8,9.2,9.3,2,9.3,55,749.0
599,229,7,18,2.7,6.4,8,9.4,52,692.9
600,216,4,14,4.5,8.7,5,5.5,57,677.4
601,151,1,14,4.4,7.5,2,13.3,47,498.9
602,79,3,21,2.5,2.3,8,4.4,56,319.8
603,183,6,29,0.3,8.5,6,16.1,45,690.3
604,170,2,10,7.6,5.0,6,17.4,56,485.6
605,195,7,30,1.7,2.4,3,17.8,31,744.2
606,205,2,12,7.6,8.6,4,8.9,57,726.8
607,166,3,22,2.4,7.4,9,19.2,54,456.0
608,109,5,18,5.1,3.5,5,5.0,52,460.4
609,247,1,28,4.0,6.4,2,3.3,54,707.7
610,37,4,18,10.5,1.5,9,23.7,58,392.6
611,92,1,15,3.2,4.4,8,15.1,25,337.8
612,60,5,30,9.5,2.2,4,21.0,38,608.6
613,172,4,8,5.4,2.7,7,20.4,65,464.8
614,82,6,20,1.0,3.6,9,18.2,64,329.9
615,235,2,21,10.2,1.3,8,8.5,75,629.6
616,139,6,26,10.1,1.2,7,14.4,74,599.9
617,127,4,22,10.7,1.1,10,21.2,45,549.2
618,106,7,10,9.7,0.2,8,13.1,72,523.6
619,65,2,12,5.5,6.5,8,13.8,35,293.5
620,186,5,23,4.0,1.2,4,14.7,42,662.2
621,42,3,8,1.7,9.5,6,1.5,28,286.8
622,147,7,22,0.3,4.8,10,10.2,49,574.9
623,37,3,6,2.4,0.2,10,15.0,43,47.1
624,208,3,20,9.8,2.1,2,9.2,42,703.2
625,76,5,21,0.5,7.4,9,23.4,71,393.8
626,242,7,25,11.8,8.7,3,18.9,28,1084.3
627,216,3,7,4.5,3.2,6,9.7,28,555.7
628,231,6,10,2.7,7.1,6,11.2,61,653.0
629,154,4,29,6.3,8.2,5,23.8,48,632.2
630,62,4,11,11.6,6.2,1,4.3,45,621.8
631,116,4,15,6.7,0.7,4,7.5,40,566.9
632,56,7,21,2.6,1.8,8,17.5,56,371.1
633,222,4,13,11.3,5.7,7,2.6,42,687.8
634,213,5,22,6.4,5.3,2,22.6,62,801.5
635,208,7,28,6.4,9.0,8,7.9,69,929.1
636,70,7,5,10.5,2.8,6,11.7,24,476.2
637,72,1,25,4.1,9.2,6,23.0,34,433.7
638,244,6,27,5.2,0.6,5,15.2,41,768.3
639,228,4,16,1.0,9.1,4,20.4,30,656.7
640,227,4,17,5.9,8.8,4,24.3,45,739.9
641,218,2,18,9.0,5.4,3,15.3,31,709.4
642,156,7,12,1.8,4.8,4,24.3,26,583.3
643,202,6,28,4.9,0.2,5,7.5,74,713.7
644,125,1,7,8.6,7.6,4,20.8,75,475.8
645,151,2,8,11.4,3.1,6,19.2,54,523.0
646,244,7,20,11.7,2.0,6,11.3,72,874.8
647,250,7,30,8.9,6.6,6,16.6,66,931.7
648,81,1,27,3.8,2.6,6,18.4,72,367.2
649,138,1,28,4.5,1.2,1,14.9,60,523.6
650,174,4,19,1.9,5.2,8,18.3,39,521.1
651,156,2,25,6.2,9.5,5,0.6,22,633.8
652,60,6,5,0.2,5.2,10,7.3,50,249.6
653,84,5,30,9.4,4.5,4,13.5,43,591.6
654,41,2,26,11.8,0.5,8,22.3,68,375.0
655,212,2,30,3.4,8.5,6,1.7,22,659.0
656,125,1,5,8.3,3.4,9,16.4,50,364.3
657,114,7,11,4.1,6.0,6,12.4,41,466.8
658,65,5,25,10.2,8.0,4,8.6,50,648.9
659,45,4,19,8.4,0.3,4,7.3,25,427.5
660,127,3,22,7.6,8.7,5,8.8,65,573.2
661,103,3,6,7.5,4.9,10,22.0,73,371.1
662,169,2,23,5.7,6.5,3,17.8,59,663.1
663,143,1,13,9.7,9.7,4,23.3,38,616.2
664,169,3,7,6.8,4.7,8,16.5,35,438.0
665,53,2,27,2.9,5.9,6,19.2,38,420.5
666,196,7,27,3.1,0.1,10,14.1,45,555.0
667,126,6,11,11.4,5.6,8,13.6,50,662.6
668,118,6,12,0.2,0.8,8,14.7,46,408.5
669,85,4,28,11.8,4.3,4,11.8,41,632.4
670,189,2,19,8.7,1.0,2,5.1,54,639.4
671,80,6,8,10.5,9.4,8,14.9,32,586.3
672,153,2,27,2.1,0.1,2,8.4,28,452.8
673,39,2,17,8.6,6.5,8,14.5,29,331.2
674,138,6,19,9.3,7.8,10,24.3,25,575.9
675,222,7,19,4.3,5.6,1,5.8,39,903.8
676,65,3,18,9.5,3.3,8,8.8,22,382.0
677,146,7,18,9.1,3.6,7,4.4,63,663.8
678,105,7,7,11.7,6.8,2,2.2,22,674.5
679,120,2,26,8.5,3.6,6,10.8,24,497.3
680,141,3,23,0.7,4.3,1,23.9,64,535.6
681,246,3,27,9.7,5.6,5,22.1,54,795.5
682,155,3,23,0.8,1.5,7,22.9,23,428.8
683,116,2,19,1.5,2.2,3,5.0,72,453.7
684,78,6,12,10.6,4.4,9,16.3,37,532.1
685,168,7,22,8.8,6.5,5,12.3,41,828.0
686,45,1,21,8.4,7.1,7,24.9,25,406.7
687,92,7,11,5.2,1.1,2,16.4,51,503.5
688,199,1,20,0.0,5.6,1,17.0,75,513.0
689,54,6,11,0.9,1.9,6,19.1,58,390.3
690,220,1,25,5.7,7.7,3,16.1,67,670.3
691,207,2,27,5.9,3.6,1,23.6,53,704.4
692,90,6,26,0.8,7.9,4,22.3,55,510.4
693,139,6,12,2.1,7.5,10,16.6,65,480.2
694,73,5,17,3.9,8.8,7,0.9,67,549.2
695,244,5,15,7.0,8.1,8,13.3,23,722.5
696,176,7,5,5.2,4.1,10,6.8,41,605.0
697,52,4,5,10.0,5.7,5,20.9,44,385.4
698,159,3,11,9.5,1.4,10,18.3,45,458.3
699,166,6,8,7.8,5.9,4,7.2,71,677.3
700,105,4,30,9.3,6.9,10,8.0,64,540.0
701,194,4,8,1.6,6.5,5,3.8,63,580.9
702,180,7,13,7.7,2.0,5,17.9,48,671.4
703,35,1,17,9.2,8.8,4,21.4,36,400.4
704,48,6,22,1.1,7.0,4,23.6,25,445.5
705,58,5,6,6.5,3.8,7,19.7,72,369.3
706,199,4,22,11.6,8.9,5,18.4,44,832.3
707,221,1,20,4.8,3.9,6,17.1,66,519.4
708,124,2,17,5.0,7.0,9,9.0,47,353.7
709,244,1,27,6.6,8.4,6,11.6,28,724.5
710,155,5,28,10.4,9.9,6,10.8,40,754.8
711,108,5,10,2.4,8.5,2,20.3,56,620.5
712,218,5,30,5.4,0.6,5,24.6,33,674.7
713,233,4,19,0.9,0.8,4,12.3,62,604.8
714,248,5,30,8.3,1.2,4,13.3,65,781.5
715,244,3,15,11.5,9.4,2,3.1,33,937.1
716,95,2,29,11.2,0.3,4,21.9,52,542.7
717,120,2,8,2.1,9.8,4,8.7,73,437.4
718,87,4,7,0.0,5.5,10,4.2,75,223.9
719,154,3,16,2.9,7.4,3,5.9,57,616.7
720,82,6,22,2.3,5.9,2,14.5,58,660.9
721,119,2,29,5.6,3.9,7,3.6,73,494.4
722,130,7,22,4.1,6.1,5,22.8,70,642.6
723,196,6,30,8.3,4.3,6,2.8,53,808.5
724,238,7,30,1.5,3.5,6,21.4,56,810.0
725,101,2,21,8.4,1.9,5,21.5,57,390.7
726,130,3,29,8.6,8.1,6,7.5,69,566.7
727,162,3,29,2.5,0.3,8,17.1,45,511.7
728,131,4,15,11.6,4.0,6,13.2,44,524.6
729,211,1,30,10.6,5.1,1,19.4,44,778.0
730,76,6,19,5.4,0.5,8,20.0,50,397.5
731,93,5,23,4.3,1.2,4,3.9,28,491.3
732,109,4,24,4.2,5.7,9,4.7,42,423.7
733,70,1,22,1.9,2.1,1,17.2,36,382.8
734,180,4,27,4.5,8.9,10,8.4,56,588.4
735,194,7,25,10.4,2.6,5,7.0,55,818.5
736,56,5,28,8.7,4.8,8,11.2,46,496.8
737,67,6,27,0.5,4.0,3,17.1,31,578.0
738,135,2,16,2.6,5.3,6,19.0,30,464.2
739,220,4,10,7.7,9.4,2,2.7,59,800.3
740,167,3,25,9.3,0.3,3,17.3,27,616.3
741,67,2,25,8.5,1.6,2,17.4,70,434.5
742,42,5,14,1.2,7.4,3,22.3,43,392.1
743,87,6,22,11.5,7.9,7,22.2,28,620.6
744,173,5,8,11.9,2.0,1,0.8,24,707.3
745,116,5,7,11.2,1.8,4,8.2,35,579.8
746,213,5,13,11.1,8.6,9,1.8,65,776.0
747,133,1,18,1.6,3.5,9,7.9,74,296.1
748,123,3,13,7.2,8.6,3,23.8,75,593.6
749,189,1,18,9.6,3.7,10,3.5,34,476.5
750,222,1,9,9.5,6.1,8,8.0,59,523.7
751,150,7,30,5.0,2.8,2,12.3,30,753.0
752,244,5,15,6.8,4.4,6,11.7,48,667.4
753,159,2,15,3.3,5.8,4,20.5,68,535.7
754,172,7,10,0.4,5.8,1,16.3,61,676.9
755,132,3,20,3.2,9.0,7,11.2,47,449.1
756,101,3,7,2.9,3.9,6,24.3,48,371.6
757,128,7,10,2.2,1.0,8,5.8,69,386.9
758,139,2,23,7.2,5.7,3,22.8,49,576.3
759,248,2,28,5.2,4.6,4,18.6,47,737.1
760,139,6,27,9.3,3.3,10,24.2,75,692.3
761,69,6,10,4.8,8.6,2,19.5,46,562.9
762,241,1,12,1.7,6.1,2,22.9,46,601.0
763,207,5,12,11.6,6.4,9,13.3,56,716.1
764,35,7,19,8.4,9.4,2,23.9,35,706.6
765,213,6,16,8.8,5.0,3,21.4,70,797.3
766,180,6,15,3.6,4.1,2,24.3,72,717.0
767,201,1,17,2.1,1.4,4,20.3,74,434.0
768,100,7,20,7.3,5.1,9,5.2,57,602.4
769,219,1,6,1.1,2.5,9,5.7,48,325.1
770,93,4,28,3.5,9.5,4,16.2,41,609.9
771,136,2,9,7.2,1.1,4,13.5,64,407.9
772,106,3,8,4.2,0.4,6,13.9,24,304.1
773,206,3,11,4.4,0.7,10,3.4,61,475.4
774,239,5,9,9.3,8.7,8,5.1,56,664.5
775,81,4,28,4.4,2.2,4,23.2,55,511.2
776,44,2,21,11.5,8.9,1,3.4,66,575.5
777,115,1,19,6.9,4.7,8,5.2,35,365.6
778,115,1,7,2.9,8.3,2,6.7,33,409.7
779,82,4,15,1.4,1.9,2,2.9,72,415.7
780,222,3,14,3.2,4.8,6,20.4,53,549.1
781,140,4,22,7.3,4.7,6,6.1,45,568.8
782,146,6,11,10.6,1.9,10,20.7,72,548.2
783,82,6,9,8.7,6.0,7,20.7,55,493.9
784,156,2,22,10.3,8.8,1,12.8,33,706.1
785,91,1,6,2.2,2.8,3,12.6,33,312.5
786,202,2,28,9.9,0.9,9,1.8,24,547.0
787,165,4,26,10.2,4.2,5,1.7,75,676.6
788,114,5,16,10.2,3.8,3,21.3,33,587.6
789,189,4,28,4.6,4.6,10,9.4,28,560.4
790,156,5,29,10.5,7.8,6,10.3,71,766.3
791,219,4,28,5.8,7.5,7,24.2,64,697.3
792,68,3,22,1.7,9.7,10,0.6,53,365.2
793,250,3,10,3.8,4.6,9,2.8,61,541.8
794,108,6,7,2.8,9.7,6,10.8,74,485.6
795,187,4,24,7.0,7.6,8,21.4,41,735.4
796,177,2,30,10.8,1.8,10,16.7,43,579.4
797,112,7,20,7.7,2.7,5,21.5,68,618.7
798,135,7,26,8.8,5.4,6,24.1,32,720.0
799,145,1,6,9.0,3.3,6,18.6,39,422.1
800,130,3,14,10.2,2.3,9,2.9,61,416.8
801,89,5,21,0.8,3.1,10,9.6,70,394.2
802,69,6,29,3.7,4.9,2,3.3,30,614.2
803,236,6,27,9.5,5.6,10,13.5,52,818.7
804,117,5,15,6.7,1.0,7,4.0,30,496.5
805,98,5,10,9.9,2.6,1,21.6,31,596.5
806,153,4,18,2.1,3.2,1,18.6,31,549.5
807,193,1,29,4.3,3.0,10,5.2,38,411.4
808,186,3,9,3.5,6.3,1,3.1,55,545.5
809,190,7,18,9.4,2.6,10,11.7,70,647.1
810,90,4,23,7.7,9.3,3,22.3,68,644.1
811,209,7,18,9.4,7.0,8,24.1,35,734.3
812,131,2,14,10.4,5.2,3,20.7,68,540.4
813,149,2,22,6.9,5.3,1,1.5,51,586.1
814,135,6,28,4.5,7.1,2,16.0,29,693.7
815,44,7,6,11.2,5.5,1,7.3,34,671.9
816,113,6,23,4.5,1.8,4,15.9,26,638.6
817,111,5,17,5.5,7.4,2,9.0,75,612.4
818,86,7,18,11.0,0.1,6,14.4,63,542.5
819,204,3,23,1.4,1.2,7,20.5,35,508.2
820,166,7,8,11.0,1.6,2,21.9,59,747.0
821,240,2,24,9.5,2.2,8,4.1,26,692.3
822,216,7,30,5.8,0.7,7,5.3,61,735.5
823,151,1,23,7.3,5.3,3,21.8,59,532.7
824,163,2,26,0.8,8.1,1,13.7,67,575.3
825,128,6,17,4.9,5.6,10,12.3,72,516.3
826,136,3,27,2.8,5.1,1,2.5,73,599.7
827,45,7,7,6.0,5.1,5,6.2,35,454.6
828,51,3,5,0.4,5.2,10,11.4,72,198.8
829,144,3,29,9.9,2.7,10,16.3,34,502.5
830,220,1,14,1.0,5.0,4,13.7,40,558.0
831,193,4,11,10.9,9.8,10,19.8,63,724.2
832,236,1,24,5.7,6.3,9,7.0,37,622.7
833,75,3,25,11.1,5.8,1,24.1,51,641.6
834,240,3,21,6.5,3.5,1,24.3,57,820.3
835,130,4,9,5.4,6.9,7,12.7,61,482.9
836,152,5,30,1.2,5.9,6,1.3,71,596.1
837,245,5,14,5.7,7.1,1,19.8,33,885.0
838,108,5,12,1.6,0.9,4,20.1,36,441.7
839,79,2,28,2.4,8.8,6,21.5,65,451.3
840,60,5,15,9.2,7.7,9,17.1,42,498.3
841,88,5,13,8.7,1.0,3,14.1,52,519.0
842,198,7,26,11.8,4.6,4,6.6,66,873.1
843,112,3,19,9.4,1.3,10,12.6,27,439.5
844,152,4,6,3.1,4.0,8,21.8,44,419.2
845,137,4,27,8.2,0.7,10,14.3,67,443.1
846,66,5,26,4.7,9.4,4,5.8,28,605.4
847,248,3,24,3.1,6.4,10,11.6,51,580.7
848,72,2,29,9.8,5.8,3,18.6,27,609.8
849,187,2,9,0.5,9.7,8,10.4,30,464.3
850,248,5,24,1.9,5.9,2,20.6,65,773.7
851,83,4,11,0.1,1.7,4,24.7,58,353.2
852,208,3,17,8.0,3.7,5,14.9,70,675.2
853,48,5,6,10.8,0.3,6,11.4,69,435.4
854,243,4,24,6.6,4.6,8,6.6,63,702.2
855,121,6,13,2.9,6.6,10,25.0,63,460.7
856,96,5,6,5.9,10.0,8,23.9,38,577.1
857,188,5,24,7.5,6.4,8,7.6,55,676.7
858,194,3,29,5.7,1.4,6,22.2,73,611.5
859,202,7,22,0.5,5.2,10,18.9,27,577.5
860,220,6,25,6.7,0.6,4,3.4,44,802.6
861,209,5,18,2.9,5.0,9,24.4,29,577.8
862,182,1,14,3.5,7.3,5,10.6,56,505.8
863,50,5,8,8.3,6.7,4,23.2,30,534.2
864,45,3,18,8.0,4.3,8,13.7,75,407.2
865,122,2,28,7.6,8.2,3,8.3,23,571.3
866,90,1,21,5.6,0.3,1,16.1,69,386.8
867,150,7,7,3.8,3.4,1,21.9,71,667.7
868,212,4,23,7.0,1.7,9,2.4,39,566.0
869,166,1,21,8.1,8.2,6,3.1,55,558.4
870,81,6,5,4.3,3.0,8,19.5,30,408.4
871,136,2,16,9.7,2.4,7,1.7,41,444.4
872,229,1,24,1.4,10.0,2,22.6,72,755.8
873,128,6,14,10.2,7.3,10,6.1,60,643.9
874,156,2,5,9.3,2.5,8,1.6,45,426.6
875,181,3,6,10.4,6.1,9,4.8,63,502.8
876,209,5,11,10.7,2.6,3,4.6,74,767.0
877,128,3,7,3.4,7.4,6,24.3,44,405.8
878,71,1,29,5.2,5.9,1,25.0,34,511.7
879,112,4,21,2.7,8.4,5,20.3,73,536.2
880,42,5,5,4.2,2.1,1,21.4,49,366.0
881,126,4,18,2.4,2.5,4,17.6,26,453.2
882,106,1,15,6.6,6.8,10,1.8,70,312.4
883,176,6,30,8.0,9.8,4,15.1,60,812.6
884,114,4,9,10.4,7.5,9,2.7,24,561.8
885,239,1,10,4.5,5.3,7,13.0,35,562.5
886,164,4,18,9.3,4.2,8,18.6,58,606.7
887,161,1,30,10.3,3.9,10,8.5,63,615.1
888,38,3,14,3.5,9.5,4,3.2,44,421.3
889,118,3,27,4.6,6.0,7,10.8,36,475.4
890,239,4,9,6.0,1.2,2,23.9,57,661.6
891,37,2,30,7.3,5.8,7,4.4,43,385.9
892,206,2,16,7.4,8.2,10,23.9,25,588.8
893,93,1,19,10.7,5.6,5,18.0,59,484.0
894,164,2,13,5.1,5.0,1,13.4,53,588.9
895,40,2,30,9.3,0.0,6,8.0,64,377.7
896,173,3,9,5.0,3.8,5,12.2,29,420.7
897,219,2,6,5.8,0.4,1,10.2,66,585.3
898,62,7,12,8.2,4.8,6,24.4,55,463.3
899,134,2,23,4.2,6.9,6,0.9,24,434.7
900,209,3,30,5.4,1.0,8,11.7,39,603.2
901,160,4,9,0.5,5.6,6,23.7,53,429.1
902,197,1,12,7.4,2.2,4,8.5,38,497.7
903,69,1,22,8.1,0.9,10,12.0,55,366.3
904,128,4,24,2.6,9.5,10,23.7,42,507.7
905,147,7,20,4.3,7.9,1,5.2,60,757.5
906,38,1,28,6.9,9.8,6,11.6,66,454.9
907,85,6,15,10.0,6.9,1,23.2,69,668.2
908,131,5,29,3.1,6.1,6,15.6,74,645.5
909,78,6,6,10.8,6.8,3,12.6,58,623.9
910,235,4,28,11.7,9.1,5,8.3,24,871.7
911,132,2,10,4.6,4.7,5,9.0,29,418.4
912,154,7,5,9.0,3.5,9,9.7,24,581.5
913,52,4,8,6.3,4.6,6,16.1,67,322.2
914,36,1,14,2.6,9.8,5,21.4,52,264.9
915,231,1,25,5.7,2.9,7,7.5,29,544.3
916,231,4,8,8.2,3.6,5,8.3,34,663.9
917,88,1,19,10.7,9.8,10,24.8,42,427.6
918,40,1,11,8.9,5.1,4,6.8,52,329.4
919,221,5,15,3.8,5.2,8,23.8,37,632.3
920,168,5,22,2.9,9.1,4,16.8,52,706.0
921,146,6,18,6.1,8.1,6,20.9,48,620.1
922,100,1,18,10.5,6.6,7,11.5,31,426.9
923,147,6,6,0.7,7.2,4,12.3,27,581.1
924,237,6,14,0.4,4.9,8,4.9,54,621.4
925,40,7,25,10.1,9.0,3,5.7,23,662.6
926,178,4,12,8.8,7.0,8,12.2,38,583.9
927,182,5,6,7.5,4.9,5,23.5,73,625.3
928,216,4,19,4.8,8.2,4,17.3,61,718.4
929,49,4,5,11.7,1.4,3,4.0,31,464.0
930,50,7,13,1.4,0.4,10,17.1,60,308.2
931,174,6,10,6.1,4.1,4,4.6,69,652.9
932,115,1,28,11.0,2.5,4,15.7,32,536.4
933,153,5,19,6.2,6.0,9,12.0,49,557.3
934,97,7,17,6.1,3.6,4,5.4,62,582.8
935,188,3,25,7.0,6.2,7,21.0,22,590.6
936,39,6,23,2.8,3.4,9,6.6,75,400.3
937,126,7,27,4.9,6.1,1,3.7,53,711.6
938,200,3,23,7.7,9.3,9,1.9,58,642.2
939,195,3,13,6.0,2.8,3,15.5,32,587.0
940,95,7,24,10.3,0.9,5,10.2,32,657.1
941,96,3,9,4.9,8.2,6,9.6,32,433.7
942,42,5,19,2.1,6.8,8,16.2,50,401.1
943,197,7,5,0.3,2.3,3,8.0,30,540.0
944,49,4,24,3.0,6.5,9,14.5,53,369.7
945,146,6,15,8.2,6.3,8,22.1,61,626.1
946,167,3,26,4.3,5.9,8,3.2,50,557.8
947,38,7,5,3.5,0.3,6,14.4,32,297.4
948,38,4,16,8.4,6.5,4,3.4,25,443.8
949,91,7,27,4.1,2.0,5,4.8,36,620.4
950,78,1,19,5.5,8.0,10,11.6,74,406.7
951,172,1,9,1.8,9.6,1,6.5,69,557.4
952,211,2,14,0.5,2.7,1,4.6,47,589.0
953,44,7,12,9.8,4.2,4,20.2,37,623.6
954,207,4,7,1.2,4.9,3,8.0,67,588.1
955,90,4,9,6.4,7.9,8,18.4,34,403.0
956,183,3,20,2.3,3.2,1,3.1,35,588.2
957,225,3,11,1.5,5.6,4,8.9,40,614.7
958,144,3,17,8.7,9.0,10,9.4,28,516.1
959,230,4,16,7.7,8.9,9,21.0,36,741.7
960,113,5,5,8.6,7.0,9,19.3,48,417.2
961,41,5,5,2.9,3.4,3,23.1,46,356.4
962,204,4,19,11.0,2.4,8,17.1,68,653.5
963,165,6,11,10.3,4.4,4,21.6,65,667.9
964,40,2,26,6.2,3.0,10,4.4,72,273.6
965,130,4,30,9.9,3.9,1,22.4,44,743.2
966,233,2,5,7.3,5.0,9,9.2,25,520.9
967,77,1,13,0.7,8.2,5,16.2,74,284.5
968,242,3,24,2.3,1.7,5,9.8,62,574.5
969,111,5,20,6.5,9.6,4,2.3,66,678.4
970,82,2,21,2.1,4.7,6,20.8,33,351.6
971,136,1,25,11.4,1.1,10,11.0,47,407.4
972,191,3,18,1.8,4.0,8,11.0,45,436.2
973,119,3,11,5.4,8.1,7,24.1,67,403.6
974,229,3,22,3.5,4.6,4,24.3,23,616.7
975,144,7,16,2.3,7.2,9,1.5,73,523.5
976,248,7,17,2.1,7.1,4,9.8,63,841.7
977,116,7,9,2.3,1.9,4,17.4,51,508.8
978,35,2,16,3.5,8.1,5,11.2,56,218.3
979,60,1,25,5.3,1.6,10,24.2,27,243.9
980,151,5,23,9.6,1.3,3,4.2,57,652.7
981,148,7,12,0.5,6.0,6,14.4,58,490.5
982,237,4,7,5.1,9.0,8,24.9,37,695.1
983,226,3,23,10.9,2.3,8,22.9,65,701.7
984,106,6,7,1.6,4.0,2,20.9,42,473.5
985,152,5,22,1.3,9.7,8,21.8,33,608.1
986,139,6,27,7.8,5.5,9,19.6,28,647.8
987,62,3,7,6.0,7.7,7,10.6,64,334.8
988,187,3,23,8.8,1.0,8,14.9,68,607.4
989,50,5,8,11.9,7.0,3,24.4,61,549.2
990,98,2,16,7.0,5.4,2,21.4,36,489.4
991,59,6,15,10.4,9.1,7,10.4,49,638.7
